[COMPONENTS]
@C1
data_file_month: NUMBER | Datafile timestamp month value
data_file_year: NUMBER | Datafile timestamp year value
dropoff_location_id: TEXT | TLC Taxi Zone in which the taximeter was disengaged
extra: NUMBER | Miscellaneous extras and surcharges. Currently, this only includes the $0.50 and $1 rush hour and overnight charges
fare_amount: NUMBER | The time-and-distance fare calculated by the meter
imp_surcharge: NUMBER | $0.30 improvement surcharge assessed on hailed trips at the flag drop. The improvement surcharge began being levied in 2015.
mta_tax: NUMBER | $0.50 MTA tax that is automatically triggered based on the metered rate in use
passenger_count: NUMBER | The number of passengers in the vehicle. This is a driver-entered value.
payment_type: TEXT | A numeric code signifying how the passenger paid for the trip. 1= Credit card 2= Cash 3= No charge 4= Dispute 5= Unknown 6= Voided trip
pickup_location_id: TEXT | TLC Taxi Zone in which the taximeter was engaged
rate_code: TEXT | The final rate code in effect at the end of the trip. 1= Standard rate 2=JFK 3=Newark 4=Nassau or Westchester 5=Negotiated fare 6=Group ride
store_and_fwd_flag: TEXT | This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka 'store and forward,' because the vehicle did not have a connection to the server. Y= store and forward trip N= not a store and forward trip
tip_amount: NUMBER | Tip amount. This field is automatically populated for credit card tips. Cash tips are not included.
tolls_amount: NUMBER | Total amount of all tolls paid in trip.
total_amount: NUMBER | The total amount charged to passengers. Does not include cash tips.
trip_distance: NUMBER | The elapsed trip distance in miles reported by the taximeter.
vendor_id: TEXT | A code indicating the LPEP provider that provided the record. 1= Creative Mobile Technologies, LLC; 2= VeriFone Inc.

@C2
distance_between_service: NUMBER | NULL
ehail_fee: NUMBER | NULL
time_between_service: NUMBER | NULL
trip_type: TEXT | A code indicating whether the trip was a street-hail or a dispatch that is automatically assigned based on the metered rate in use but can be altered by the driver. 1= Street-hail 2= Dispatch

@C3
boro_ct: NUMBER | This is the boro_ct identifyer for the census tract that the tree point falls into.
borocode: NUMBER | Code for borough in which tree point is located
boroname: TEXT | Name of borough in which tree point is located
cb_num: NUMBER | Community board in which tree point is located
cncldist: NUMBER | Council district in which tree point is located
nta: TEXT | This is the NTA Code corresponding to the neighborhood tabulation area from the 2010 US Census that the tree point falls into.
nta_name: TEXT | This is the NTA name corresponding to the neighborhood tabulation area from the 2010 US Census that the tree point falls into.
st_assem: NUMBER | State Assembly District in which tree point is located
st_senate: NUMBER | State Senate District in which tree point is located
state: TEXT | All features given value 'New York'
tree_dbh: NUMBER | Diameter of the tree, measured at approximately 54" / 137cm above the ground.
zip_city: TEXT | City as derived from zipcode. This is often (but not always) the same as borough.

@C4
dispatching_base_num: TEXT | The TLC Base License Number of the base that dispatched the trip.
location_id: NUMBER | The TLC taxi zone of the trip pick-up
service_zone: TEXT | This is Pickup service_zone
zone: TEXT | This is Pickup zone

@C5
latitude: FLOAT | Latitude of point, in decimal degrees
longitude: FLOAT | Longitude of point, in decimal degrees

@C6
address: TEXT | Nearest estimated address to tree
spc_common: TEXT | Common name for species, e.g. "red maple"
spc_latin: TEXT | Scientific name for species, e.g. "Acer rubrum"

@C7
division: TEXT | NULL
line: TEXT | NULL
station_geom: BINARY | NULL
station_lat: FLOAT | NULL
station_lon: FLOAT | NULL

[TABLES]
## NEW_YORK_TREES.TREE_SPECIES
location_tolerances: TEXT | NULL
comments: TEXT | NULL
environmental_tolerances: TEXT | NULL
tree_size: TEXT | NULL
notes_suggested_cultivars: TEXT | NULL
species_common_name: TEXT | NULL
growth_rate: TEXT | NULL
fall_color: TEXT | NULL
form: TEXT | NULL
species_scientific_name: TEXT | NULL

## NEW_YORK_TREES.TREE_CENSUS_2015
@use: [C3, C5, C6]
trunk_wire: TEXT | Indicates the presence of a trunk problem caused by wires or rope wrapped around the trunk
zipcode: NUMBER | Five-digit zipcode in which tree is located
root_grate: TEXT | Indicates the presence of a root problem caused by metal grates in tree bed
health: TEXT | Indicates the user's perception of tree health.
sidewalk: TEXT | Indicates whether one of the sidewalk flags immediately adjacent to the tree was damaged, cracked, or lifted. Not recorded for dead trees and stumps.
x_sp: FLOAT | X coordinate, in state plane. Units are feet.
user_type: TEXT | This field describes the category of user who collected this tree point's data.
root_other: TEXT | Indicates the presence of other root problems
stump_diam: NUMBER | Diameter of stump measured through the center, rounded to the nearest inch.
root_stone: TEXT | Indicates the presence of a root problem caused by paving stones in tree bed
trnk_other: TEXT | Indicates the presence of other trunk problems
brch_light: TEXT | Indicates the presence of a branch problem caused by lights (usually string lights) or wires in the branches
brch_other: TEXT | Indicates the presence of other branch problems
y_sp: FLOAT | Y coordinate, in state plane. Units are feet
brch_shoe: TEXT | Indicates the presence of a branch problem caused by sneakers in the branches
tree_id: NUMBER | Unique identification number for each tree point
created_at: DATE | The date tree points were collected in the census software
problems: TEXT | NULL
status: TEXT | Indicates whether the tree is alive, standing dead, or a stump.
curb_loc: TEXT | Location of tree bed in relationship to the curb; trees are either along the curb (OnCurb) or offset from the curb (OffsetFromCurb)
guards: TEXT | Indicates whether a guard is present, and if the user felt it was a helpful or harmful guard. Not recorded for dead trees and stumps
block_id: NUMBER | Identifier linking each tree to the block in the blockface table/shapefile that it is mapped on.
trnk_light: TEXT | Indicates the presence of a trunk problem caused by lighting installed on the tree
steward: TEXT | Indicates the number of unique signs of stewardship observed for this tree. Not recorded for stumps or dead trees.

## NEW_YORK_TREES.TREE_CENSUS_2005
@use: [C3, C5, C6]
sidw_crack: BOOLEAN | Cracked sidewalk present
location_1: TEXT | NULL
horz_grate: BOOLEAN | Tree grates present
wire_2nd: BOOLEAN | Indicates the presence of secondary wires
horz_plant: BOOLEAN | Plantings present
inf_lights: BOOLEAN | Tree lights present
bin: NUMBER | NULL
objectid: NUMBER | NULL
inf_wires: BOOLEAN | Choking wires present
census_tract: NUMBER | NULL
horz_blck: BOOLEAN | Block pavers present
wire_prime: BOOLEAN | Indicates the presence of primary wires
pit_type: TEXT | NULL
tree_loc: TEXT | Establishes the location of the tree in relation to the address provided
inf_other: BOOLEAN | Other infrastructure conflicts present
vert_pgrd: BOOLEAN | Perimeter guard present
x_sp: NUMBER | X field
vert_other: BOOLEAN | Other Vertical Treatment Present
soil_lvl: TEXT | NULL
inf_shoes: BOOLEAN | Sneakers present
cen_year: NUMBER | This is the year the tree was inventoried in. Data collection for the 2005 census spanned multiple seasons. Data is in YYYY format.
wire_htap: BOOLEAN | Indicates the presence of house tap wires
inf_guard: BOOLEAN | Choking guard or grate present
inf_canopy: BOOLEAN | Canopy debris present
bbl: NUMBER | NULL
y_sp: NUMBER | y field
zipcode: TEXT | 2005 zipcode that the tree falls in.
vert_wall: BOOLEAN | Walled tree well present
trunk_dmg: TEXT | Describes specific damage or wounds found on the trunk
wire_other: BOOLEAN | Indicates the presence of other wires
inf_outlet: BOOLEAN | Electrical outlet present
inf_paving: BOOLEAN | Close paving present
status: TEXT | Excellent: full, well balanced crown and limb structure; leaves normal size color; no dead or broken branches; trunk solid; bark intact. Good: crown uneven or misshapen; some mechanical damage to bark or trunk; some signs of insects or disease; leaves somewhat below normal size and quantity; some dead or broken branches (less than half of the tree). Poor: large dead limbs with over one- half of the tree already dead or removed; large cavities; drastic deformities; leaves significantly below normal size and quantity; severe insect or disease damage. Dead: dead tree; leaves absent; twigs brittle. Shaft: all branches removed; trunk left standing; sprouts may or may not be evident. Stump: stump shorter than breast height; leaves entirely absent or present only on stump sprouts Empty pit: Pit contains exposed soil and no tree
vert_tgrd: BOOLEAN | Tall guard present
horz_other: BOOLEAN | Other horizontal treatment present
objectid_1: NUMBER | NULL
sidw_raise: BOOLEAN | Raised sidewalk present

## NEW_YORK_TREES.TREE_CENSUS_1995
@use: [C5, C6]
species: TEXT | Species of the tree using a four-letter code, comprised of the first two letters of the genus followed by the first two letters of the species.
sidewalk_condition: TEXT | Whether the tree roots have lifted the adjacent sidewalk.
segmentid: NUMBER | LION SegmentID geocoded to the address using Geosupport 11.4
censustract_2010: TEXT | 2010 Census Tract geocoded to the address using Geosupport 11.4
zip_original: NUMBER | The zip code originally geocoded to the address using LION 02A
nta_2010: TEXT | Neighborhood Tabulation Area geocoded to the address using Geosupport 11.4
site: TEXT | This field clarifies the position relative to the address for trees not located in the front of buildings.
house_number: TEXT | Numerical portion of the address.
wires: TEXT | Whether the tree is located under utility wires
location: TEXT | NULL
censusblock_2010: TEXT | 2010 Census Block geocoded to the address using Geosupport 11.4
borough: TEXT | Borough where tree was recorded.
zip_new: NUMBER | Zip Code geocoded to the address using Geosupport 11.4
recordid: NUMBER | A unique identifier for each record in the table. Does not correspond to other datasets or identify the tree itself.
status: TEXT | Overall tree condition.
cb_new: NUMBER | Community Board geocoded to the address using Geosupport 11.4
support_structure: TEXT | Whether the tree has support structures installed.
y: FLOAT | Y coordinate of point in the NAD_1983_StatePlane_New_York_Long_Island_FIPS_3104_Feet coordinate system, geocoded using LION 02A
diameter: NUMBER | Diameter of the tree as measured at approximately 4.5 feet from the ground.
street: TEXT | Street where address for tree is located.
cb_original: NUMBER | The community board originally geocoded to the address using LION 02A
x: FLOAT | X coordinate of point in the NAD_1983_StatePlane_New_York_Long_Island_FIPS_3104_Feet coordinate system, geocoded using LION 02A

## NEW_YORK_CITIBIKE.CITIBIKE_TRIPS
start_station_longitude: FLOAT | Start Station Longitude
customer_plan: TEXT | The name of the plan that determines the rate charged for the trip
birth_year: NUMBER | Year of Birth
end_station_name: TEXT | End Station Name
usertype: TEXT | User Type (Customer = 24-hour pass or 7-day pass user, Subscriber = Annual Member)
gender: TEXT | Gender (unknown, male, female)
bikeid: NUMBER | Bike ID
starttime: NUMBER | Start Time, in NYC local time.
stoptime: NUMBER | Stop Time, in NYC local time.
start_station_id: NUMBER | Start Station ID
end_station_latitude: FLOAT | End Station Latitude
end_station_longitude: FLOAT | End Station Longitude
start_station_name: TEXT | Start Station Name
start_station_latitude: FLOAT | Start Station Latitude
tripduration: NUMBER | Trip Duration (in seconds)
end_station_id: NUMBER | End Station ID

## NEW_YORK_CITIBIKE.CITIBIKE_STATIONS
@use: [C5]
capacity: NUMBER | ANumber of total docking points installed at this station, both available and unavailable.
rental_methods: TEXT | Array of enumerables containing the payment methods accepted at this station.
is_renting: BOOLEAN | Is the station currently renting bikes?
num_bikes_disabled: NUMBER | Number of disabled bikes at the station.
station_id: TEXT | Unique identifier of a station.
num_docks_available: NUMBER | Number of docks accepting bike returns.
eightd_has_available_keys: BOOLEAN | NULL
region_id: NUMBER | ID of the region where station is located.
eightd_has_key_dispenser: BOOLEAN | NULL
num_bikes_available: NUMBER | Number of bikes available for rental.
is_installed: BOOLEAN | Is the station currently on the street?
name: TEXT | Public name of the station.
short_name: TEXT | Short name or other type of identifier, as used by the data publisher.
last_reported: NUMBER | Timestamp indicating the last time this station reported its status to the backend, in NYC local time.
is_returning: BOOLEAN | Is the station accepting bike returns?
num_docks_disabled: NUMBER | Number of empty but disabled dock points at the station.

## NEW_YORK_SUBWAY.STATIONS
@use: [C7]
station_id: TEXT | NULL
borough_name: TEXT | NULL
structure: TEXT | NULL
complex_id: TEXT | NULL
north_direction_label: TEXT | NULL
daytime_routes: TEXT | NULL
station_name: TEXT | NULL
gtfs_stop_id: TEXT | NULL
south_direction_label: TEXT | NULL

## NEW_YORK_SUBWAY.STOP_TIMES
stop_sequence: TEXT | Identifies the order of the stops for a particular trip. The values for stop_sequence must increase throughout the trip but do not need to be consecutive.
trip_id: TEXT | Identifies a trip. Multiple trips can have the same stop
arrival_time: TEXT | Specifies the scheduled arrival time at a specific stop for a specific trip on a route.
departure_time: TEXT | Specifies the scheduled departure time at a specific stop for a specific trip on a route.
stop_id: TEXT | Identifies the serviced stop. Multiple routes can use the same stop.
pickup_type: TEXT | NULL
shape_dist_traveled: TEXT | NULL
stop_headsign: TEXT | NULL
dropoff_type: TEXT | "Indicates whether riders are dropped off at a stop as part of the normal schedule or whether a drop off at the stop isn't available. Available options:  -  regular -  none -  phone (indicates must phone agency to arrange drop off) -  driver (indicates must coordinate with driver to arrange drop off)"

## NEW_YORK_SUBWAY.ROUTES
route_long_name: TEXT | Contains the full name of a route. This name is generally more descriptive than the name from route_short_name and often includes the route's destination or stop.
route_describe: TEXT | NULL
route_type: TEXT | "Describes the type of transportation used on a route. The following are valid values for this field:  -  light_rail: Streetcar or light rail. Used for any light rail or street-level system within a metropolitan area. -  subway: Subway or metro. Used for any underground rail system within a metropolitan area. -  rail: Used for intercity or long-distance travel. -  bus: Used for short- and long-distance bus routes. -  ferry: Used for short- and long-distance boat service. -  cable_car: Used for street-level cable cars where the cable runs beneath the car. -  tram: Gondola or suspended cable car. Typically used for aerial cable cars where the car is suspended from the cable. -  funicular: Used for any rail system that moves on steep inclines with a cable traction system."
route_short_name: TEXT | Contains the short name of a route. This is a short, abstract identifier like 32, 100X, or Green that riders use to identify a route, but which doesn't give any indication of what places the route serves.
route_id: TEXT | Unique identifier for each route. A single route will have multiple trips

## NEW_YORK_SUBWAY.TRIPS
shape_id: TEXT | Unique identifier for the geospatial shape that describes the vehicle travel for a trip along individual points. Use to JOIN with the shapes available in the shapes table
trip_headsign: TEXT | Contains the text that appears on signage that identifies the trip's destination to riders. Use this field to distinguish between different patterns of service on the same route.
direction_id: TEXT | NULL
route_id: TEXT | Unique identifier for each route. A single route will have multiple trips
service_id: TEXT | NULL
trip_id: TEXT | Unique identifier for each trip
block_id: TEXT | Identifies the block to which the trip belongs. A block consists of a single trip or many sequential trips made with the same vehicle. The trips are grouped into a block by the use of a shared service day andblock_id. A block_id can include trips with different service days, which then makes distinct blocks. For more details, see: https://developers.google.com/transit/gtfs/reference/#example-showing-blocks-and-service-day

## NEW_YORK_SUBWAY.STATION_COMPLEXES
complex_name: TEXT | NULL
complex_id: TEXT | NULL

## NEW_YORK_SUBWAY.STATION_ENTRANCES
@use: [C7]
vending: BOOLEAN | NULL
route_2: TEXT | NULL
exit_only: BOOLEAN | NULL
north_south_street: TEXT | NULL
route_8: TEXT | NULL
free_crossover: BOOLEAN | NULL
staff_hours: TEXT | NULL
route_5: TEXT | NULL
staff: TEXT | NULL
station_name: TEXT | NULL
route_9: TEXT | NULL
route_10: TEXT | NULL
route_11: TEXT | NULL
entrance_type: TEXT | NULL
entrance_lat: FLOAT | NULL
entrance_lon: FLOAT | NULL
corner: TEXT | NULL
route_7: TEXT | NULL
east_west_street: TEXT | NULL
route_1: TEXT | NULL
entry: BOOLEAN | NULL
route_6: TEXT | NULL
route_4: TEXT | NULL
route_3: TEXT | NULL
ada_compliant: BOOLEAN | NULL
ada_notes: TEXT | NULL
entrance_geom: BINARY | NULL

## NEW_YORK_SUBWAY.GEO_NYC_BOROUGH_BOUNDARIES
borough_code: TEXT | NULL
borough_geom: BINARY | NULL
borough_len: FLOAT | NULL
borough_area: FLOAT | NULL
borough_name: TEXT | NULL

## NEW_YORK_SUBWAY.SUBWAY_RIDERSHIP_2013_PRESENT
station_name: TEXT | NULL
ridership_2016: NUMBER | NULL
change_2018_percent: FLOAT | NULL
ridership_2017: NUMBER | NULL
ridership_2013: NUMBER | NULL
ridership_2018: NUMBER | NULL
ridership_2015: NUMBER | NULL
ridership_2014: NUMBER | NULL
change_2018_raw: NUMBER | NULL
routes: TEXT | NULL
rank_ridership_2018: NUMBER | NULL

## NEW_YORK_MV_COLLISIONS.NYPD_MV_COLLISIONS
@use: [C5]
vehicle_type_code_3: TEXT | NULL
on_street_name: TEXT | NULL
number_of_pedestrians_killed: NUMBER | NULL
number_of_persons_killed: NUMBER | NULL
off_street_name: TEXT | NULL
vehicle_type_code1: TEXT | NULL
contributing_factor_vehicle_5: TEXT | NULL
number_of_cyclist_killed: NUMBER | NULL
timestamp: NUMBER | NULL
number_of_motorist_killed: NUMBER | NULL
cross_street_name: TEXT | NULL
number_of_persons_injured: NUMBER | NULL
vehicle_type_code_5: TEXT | NULL
borough: TEXT | NULL
contributing_factor_vehicle_3: TEXT | NULL
contributing_factor_vehicle_4: TEXT | NULL
number_of_cyclist_injured: NUMBER | NULL
number_of_pedestrians_injured: NUMBER | NULL
vehicle_type_code_4: TEXT | NULL
contributing_factor_vehicle_2: TEXT | NULL
zip_code: NUMBER | NULL
vehicle_type_code2: TEXT | NULL
number_of_motorist_injured: NUMBER | NULL
unique_key: NUMBER | NULL
location: TEXT | NULL
contributing_factor_vehicle_1: TEXT | NULL

## NEW_YORK_311._311_SERVICE_REQUESTS
@use: [C5]
location_type: TEXT | NULL
intersection_street_2: TEXT | NULL
resolution_description: TEXT | NULL
community_board: TEXT | NULL
status: TEXT | Service request status. Duplicate statuses indicate that issue had previously been reported recently.
park_facility_name: TEXT | NULL
created_date: NUMBER | Date Service request was created.
bridge_highway_segment: TEXT | NULL
location: TEXT | Service request location latitude and longitude coordinates.
landmark: TEXT | NULL
incident_address: TEXT | Service location of Service request.
vehicle_type: TEXT | NULL
due_date: NUMBER | NULL
taxi_company_borough: TEXT | NULL
complaint_type: TEXT | NULL
road_ramp: TEXT | NULL
descriptor: TEXT | NULL
street_name: TEXT | Parsed location information. Street name.
agency: TEXT | NULL
cross_street_2: TEXT | NULL
resolution_action_updated_date: NUMBER | NULL
open_data_channel_type: TEXT | NULL
agency_name: TEXT | NULL
x_coordinate: NUMBER | NULL
closed_date: NUMBER | NULL
incident_zip: TEXT | Parsed location information. Zip code.
y_coordinate: NUMBER | NULL
borough: TEXT | NULL
unique_key: NUMBER | The service request tracking number.
bridge_highway_name: TEXT | NULL
city: TEXT | Parsed location information. City.
intersection_street_1: TEXT | NULL
bbl: NUMBER | NULL
address_type: TEXT | NULL
bridge_highway_direction: TEXT | NULL
park_borough: TEXT | NULL
cross_street_1: TEXT | NULL
taxi_pickup_location: TEXT | NULL
facility_type: TEXT | NULL

## NEW_YORK_TAXI_TRIPS.TLC_YELLOW_TRIPS_2015
@use: [C1]
airport_fee: NUMBER | NULL
pickup_datetime: NUMBER | The date and time when the meter was engaged
dropoff_datetime: NUMBER | The date and time when the meter was disengaged

## NEW_YORK_TAXI_TRIPS.TLC_GREEN_TRIPS_2016
@use: [C1, C2]
dropoff_datetime: NUMBER | The date and time when the meter was disengaged
airport_fee: NUMBER | NULL
pickup_datetime: NUMBER | The date and time when the meter was engaged

## NEW_YORK_TAXI_TRIPS.TLC_GREEN_TRIPS_2014
@use: [C1, C2]
pickup_datetime: NUMBER | The date and time when the meter was engaged
airport_fee: NUMBER | NULL
dropoff_datetime: NUMBER | The date and time when the meter was disengaged

## NEW_YORK_TAXI_TRIPS.TLC_YELLOW_TRIPS_2020
@use: [C1]
pickup_datetime: NUMBER | The date and time when the meter was engaged
airport_fee: NUMBER | NULL
dropoff_datetime: NUMBER | The date and time when the meter was disengaged

## NEW_YORK_TAXI_TRIPS.TLC_YELLOW_TRIPS_2013
@use: [C1]
