[TABLES]
## GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170330
totals: VARIANT | This section contains aggregate values across the session.
visitorId: NUMBER | This field is deprecated. Use `fullVisitorId` instead.
socialEngagementType: TEXT | Total number of screenviews within the session.
userId: TEXT | This field is deprecated. Use `totals.totalTransactionRevenue` instead.
hits: VARIANT | Total bounces (for convenience). For a bounced session, the value is 1, otherwise it is null.
visitNumber: NUMBER | The session number for this user. If this is the first session, then this is set to 1.
customDimensions: VARIANT | Total time of the session expressed in seconds.
visitId: NUMBER | An identifier for this session. This is part of the value usually stored as the _utmb cookie. This is only unique to the user. For a completely unique ID, you should use a combination of `fullVisitorId` and `visitId`.
fullVisitorId: TEXT | Total number of ecommerce transactions within the session.
date: TEXT | The date of the session in YYYYMMDD format.
trafficSource: VARIANT | The number of sessions (for convenience). This value is 1 for sessions with interaction events. The value is null if there are no interaction events in the session.
geoNetwork: VARIANT | Total number of pageviews within the session.
channelGrouping: TEXT | Total number of new users in session (for convenience). If this is the first visit, this value is 1, otherwise it is null.
visitStartTime: NUMBER | The timestamp (expressed as POSIX time).
device: VARIANT | Total number of hits within the session.

## GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20161217
channelGrouping: TEXT | Total number of new users in session (for convenience). If this is the first visit, this value is 1, otherwise it is null.
fullVisitorId: TEXT | Total number of ecommerce transactions within the session.
userId: TEXT | This field is deprecated. Use `totals.totalTransactionRevenue` instead.
date: TEXT | The date of the session in YYYYMMDD format.
visitNumber: NUMBER | The session number for this user. If this is the first session, then this is set to 1.
geoNetwork: VARIANT | Total number of pageviews within the session.
visitId: NUMBER | An identifier for this session. This is part of the value usually stored as the _utmb cookie. This is only unique to the user. For a completely unique ID, you should use a combination of `fullVisitorId` and `visitId`.
trafficSource: VARIANT | The number of sessions (for convenience). This value is 1 for sessions with interaction events. The value is null if there are no interaction events in the session.
socialEngagementType: TEXT | Total number of screenviews within the session.
visitStartTime: NUMBER | The timestamp (expressed as POSIX time).
device: VARIANT | Total number of hits within the session.
customDimensions: VARIANT | Total time of the session expressed in seconds.
totals: VARIANT | This section contains aggregate values across the session.
hits: VARIANT | Total bounces (for convenience). For a bounced session, the value is 1, otherwise it is null.
visitorId: NUMBER | This field is deprecated. Use `fullVisitorId` instead.

## GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20160925
customDimensions: VARIANT | Total time of the session expressed in seconds.
channelGrouping: TEXT | Total number of new users in session (for convenience). If this is the first visit, this value is 1, otherwise it is null.
fullVisitorId: TEXT | Total number of ecommerce transactions within the session.
visitStartTime: NUMBER | The timestamp (expressed as POSIX time).
totals: VARIANT | This section contains aggregate values across the session.
visitorId: NUMBER | This field is deprecated. Use `fullVisitorId` instead.
userId: TEXT | This field is deprecated. Use `totals.totalTransactionRevenue` instead.
visitId: NUMBER | An identifier for this session. This is part of the value usually stored as the _utmb cookie. This is only unique to the user. For a completely unique ID, you should use a combination of `fullVisitorId` and `visitId`.
hits: VARIANT | Total bounces (for convenience). For a bounced session, the value is 1, otherwise it is null.
geoNetwork: VARIANT | Total number of pageviews within the session.
visitNumber: NUMBER | The session number for this user. If this is the first session, then this is set to 1.
device: VARIANT | Total number of hits within the session.
date: TEXT | The date of the session in YYYYMMDD format.
trafficSource: VARIANT | The number of sessions (for convenience). This value is 1 for sessions with interaction events. The value is null if there are no interaction events in the session.
socialEngagementType: TEXT | Total number of screenviews within the session.

## GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20161227
customDimensions: VARIANT | Total time of the session expressed in seconds.
visitId: NUMBER | An identifier for this session. This is part of the value usually stored as the _utmb cookie. This is only unique to the user. For a completely unique ID, you should use a combination of `fullVisitorId` and `visitId`.
socialEngagementType: TEXT | Total number of screenviews within the session.
hits: VARIANT | Total bounces (for convenience). For a bounced session, the value is 1, otherwise it is null.
trafficSource: VARIANT | The number of sessions (for convenience). This value is 1 for sessions with interaction events. The value is null if there are no interaction events in the session.
date: TEXT | The date of the session in YYYYMMDD format.
device: VARIANT | Total number of hits within the session.
visitorId: NUMBER | This field is deprecated. Use `fullVisitorId` instead.
fullVisitorId: TEXT | Total number of ecommerce transactions within the session.
geoNetwork: VARIANT | Total number of pageviews within the session.
totals: VARIANT | This section contains aggregate values across the session.
visitStartTime: NUMBER | The timestamp (expressed as POSIX time).
visitNumber: NUMBER | The session number for this user. If this is the first session, then this is set to 1.
channelGrouping: TEXT | Total number of new users in session (for convenience). If this is the first visit, this value is 1, otherwise it is null.
userId: TEXT | This field is deprecated. Use `totals.totalTransactionRevenue` instead.

## GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20161213
visitId: NUMBER | An identifier for this session. This is part of the value usually stored as the _utmb cookie. This is only unique to the user. For a completely unique ID, you should use a combination of `fullVisitorId` and `visitId`.
visitorId: NUMBER | This field is deprecated. Use `fullVisitorId` instead.
customDimensions: VARIANT | Total time of the session expressed in seconds.
date: TEXT | The date of the session in YYYYMMDD format.
fullVisitorId: TEXT | Total number of ecommerce transactions within the session.
channelGrouping: TEXT | Total number of new users in session (for convenience). If this is the first visit, this value is 1, otherwise it is null.
device: VARIANT | Total number of hits within the session.
totals: VARIANT | This section contains aggregate values across the session.
visitNumber: NUMBER | The session number for this user. If this is the first session, then this is set to 1.
geoNetwork: VARIANT | Total number of pageviews within the session.
userId: TEXT | This field is deprecated. Use `totals.totalTransactionRevenue` instead.
hits: VARIANT | Total bounces (for convenience). For a bounced session, the value is 1, otherwise it is null.
socialEngagementType: TEXT | Total number of screenviews within the session.
trafficSource: VARIANT | The number of sessions (for convenience). This value is 1 for sessions with interaction events. The value is null if there are no interaction events in the session.
visitStartTime: NUMBER | The timestamp (expressed as POSIX time).

## GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170516
totals: VARIANT | This section contains aggregate values across the session.
fullVisitorId: TEXT | Total number of ecommerce transactions within the session.
customDimensions: VARIANT | Total time of the session expressed in seconds.
visitNumber: NUMBER | The session number for this user. If this is the first session, then this is set to 1.
channelGrouping: TEXT | Total number of new users in session (for convenience). If this is the first visit, this value is 1, otherwise it is null.
date: TEXT | The date of the session in YYYYMMDD format.
userId: TEXT | This field is deprecated. Use `totals.totalTransactionRevenue` instead.
visitStartTime: NUMBER | The timestamp (expressed as POSIX time).
geoNetwork: VARIANT | Total number of pageviews within the session.
device: VARIANT | Total number of hits within the session.
trafficSource: VARIANT | The number of sessions (for convenience). This value is 1 for sessions with interaction events. The value is null if there are no interaction events in the session.
socialEngagementType: TEXT | Total number of screenviews within the session.
visitId: NUMBER | An identifier for this session. This is part of the value usually stored as the _utmb cookie. This is only unique to the user. For a completely unique ID, you should use a combination of `fullVisitorId` and `visitId`.
visitorId: NUMBER | This field is deprecated. Use `fullVisitorId` instead.
hits: VARIANT | Total bounces (for convenience). For a bounced session, the value is 1, otherwise it is null.

## GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170604
socialEngagementType: TEXT | Total number of screenviews within the session.
