[TABLES]
## NEW_YORK_CITIBIKE.CITIBIKE_TRIPS
start_station_longitude: FLOAT | Start Station Longitude | eg=[-73.95928168, -74.01043382]
customer_plan: TEXT | The name of the plan that determines the rate charged for the trip | eg=[""]
birth_year: NUMBER | Year of Birth | eg=[1995]
end_station_name: TEXT | End Station Name | eg=["Canal St & Rutgers St", "Forsyth St & Canal St"]
usertype: TEXT | User Type (Customer = 24-hour pass or 7-day pass user, Subscriber = Annual Member) | eg=["Subscriber"]
gender: TEXT | Gender (unknown, male, female) | eg=["female"]
starttime: NUMBER | Start Time, in NYC local time. | eg=[1468270231000000, 1507990925000000]
bikeid: NUMBER | Bike ID | eg=[25672, 30676]
stoptime: NUMBER | Stop Time, in NYC local time. | eg=[1468271840000000, 1507992100000000]
start_station_id: NUMBER | Start Station ID | eg=[120, 195]
end_station_latitude: FLOAT | End Station Latitude | eg=[40.71427487, 40.7158155]
end_station_longitude: FLOAT | End Station Longitude | eg=[-73.98990025, -73.99422366]
start_station_name: TEXT | Start Station Name | eg=["Lexington Ave & Classon Ave", "Liberty St & Broadway"]
start_station_latitude: FLOAT | Start Station Latitude | eg=[40.68676793, 40.70905623]
tripduration: NUMBER | Trip Duration (in seconds) | eg=[1609, 1174]
end_station_id: NUMBER | End Station ID | eg=[307, 412]

## NEW_YORK_CITIBIKE.CITIBIKE_STATIONS
latitude: FLOAT | The latitude of station. The field value must be a valid WGS 84 latitude in decimal degrees format. | eg=[40.770513, 40.73532427]
capacity: NUMBER | ANumber of total docking points installed at this station, both available and unavailable. | eg=[117, 47]
rental_methods: TEXT | Array of enumerables containing the payment methods accepted at this station. | eg=["KEY, CREDITCARD"]
is_renting: BOOLEAN | Is the station currently renting bikes? | eg=[false]
num_bikes_disabled: NUMBER | Number of disabled bikes at the station. | eg=[0]
station_id: TEXT | Unique identifier of a station. | eg=["66dc0dab-0aca-11e7-82f6-3863bb44ef7c", "66db4282-0aca-11e7-82f6-3863bb44ef7c"]
num_docks_available: NUMBER | Number of docks accepting bike returns. | eg=[0]
eightd_has_available_keys: BOOLEAN | NULL | eg=[false]
region_id: NUMBER | ID of the region where station is located. | eg=[71]
num_bikes_available: NUMBER | Number of bikes available for rental. | eg=[0]
is_installed: BOOLEAN | Is the station currently on the street? | eg=[false]
longitude: FLOAT | The longitude of station. The field value must be a valid WGS 84 latitude in decimal degrees format. | eg=[-73.988038, -73.99800419]
eightd_has_key_dispenser: BOOLEAN | NULL | eg=[false]
name: TEXT | Public name of the station. | eg=["W 59 St & 10 Ave", "W 11 St & 6 Ave"]
short_name: TEXT | Short name or other type of identifier, as used by the data publisher. | eg=["7023.04", "5914.03"]
